onset	duration	trial_type	other_type
3.5441565	6.5	4	four
23.5719305	6.5	1	one
43.5998115	6.5	2	two
63.627571499999995	6.5	3	three
83.6554105	6.5	4	four
103.6832875	6.5	3	three
123.7110445	6.5	5	five
143.7389385	6.5	5	five
163.7667105	6.5	2	two
183.7945855	6.5	4	four
203.8223675	6.5	1	one
223.85022850000001	6.5	4	four
